date,ticker,price
2024-01-01,AAPL,148.63284296187948
2024-01-02,AAPL,147.91751233334764
2024-01-03,AAPL,147.7362783586782
2024-01-04,AAPL,148.54973175556114
2024-01-05,AAPL,149.41878530552745
2024-01-06,AAPL,150.94318506552494
2024-01-07,AAPL,149.83798445975194
2024-01-08,AAPL,150.13839030199028
2024-01-09,AAPL,149.1625881548878
2024-01-10,AAPL,148.61872267841397
2024-01-11,AAPL,147.33219998070084
2024-01-12,AAPL,148.93248957371156
2024-01-13,AAPL,148.98762038677427
2024-01-14,AAPL,150.65136802493
2024-01-15,AAPL,150.36530236765992
2024-01-16,AAPL,150.4934909091893
2024-01-17,AAPL,150.60113700631535
2024-01-18,AAPL,150.18781813952762
2024-01-19,AAPL,149.84679758702273
2024-01-20,AAPL,149.13614062603384
